Formula,Translation,Translation_Type,Class,Difference,length
"~ FrontOf ( c , c ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , c ) & ~ FrontOf ( d , b )",It is not the case that c is in front of c and it is not the case that c is in front of b and it is not the case that d is in front of c and it is not the case that d is in front of b.,Baseline,1,False,51
"~ FrontOf ( d , c ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , b ) & ~ FrontOf ( c , c )",It is not the case that d is in front of c and it is not the case that c is in front of b and it is not the case that d is in front of b and it is not the case that c is in front of c.,Baseline,1,False,51
Cube ( d ) & Cube ( c ) & ~ ( Small ( d ) & Small ( c ) ) & ~ ( Small ( d ) | Small ( c ) ),D is a cube and c is a cube and it is not the case that d is small and c is small and it is not the case that d is small or c is small.,Baseline,1,False,37
/ u ( ~ ( Large ( u ) | Small ( u ) ) & Dodec ( u ) ),There is an element u such that it is not the case that u is large or small and u is a dodecahedron.,Ranta,1,True,23
"~ ( BackOf ( c , d ) | BackOf ( b , d ) ) & ~ ( BackOf ( c , c ) | BackOf ( b , c ) )",It is not the case that c is in back of d or b is in back of d and it is not the case that c is in back of c or b is in back of c.,Baseline,1,False,39
"~ ~ SameSize ( e , d )",It is not the case that it is not the case that e is of the same size as d.,Baseline,1,False,20
Cube ( d ) & Cube ( c ) & ~ ( Small ( d ) | Small ( c ) ),D is a cube and c is a cube and it is not the case that d is small or c is small.,Baseline,1,False,23
"~ ~ SameRow ( b , a ) & ~ SameCol ( b , f )",It is not the case that b is not in the same row as a and b is not in the same column as f.,Ranta,1,True,25
( Small ( d ) & Dodec ( d ) ) | ( Small ( a ) & ~ ( Small ( d ) & Dodec ( d ) ) ),D is small and d is a dodecahedron or a is small and it is not the case that d is small and d is a dodecahedron.,Baseline,1,False,27
"@ x ( Adjoins ( x , a ) $ ~ Adjoins ( x , a ) )","For all x, if x is adjacent to a, then x is not adjacent to a.",Ranta,2,False,16
"@ x ( Cube ( x ) $ @ y ( Dodec ( y ) $ ( Larger ( y , x ) | SameSize ( x , y ) ) ) )","For all cubes x, for all dodecahedrons y, y is larger than x or x is of the same size as y.",Ranta,2,False,22
"/ x ( Cube ( x ) & Large ( x ) & / y LeftOf ( x , b ) )","There is an element x such that x is a cube, x is large and there is an element y such that x is to the left of b.",Ranta,2,False,29
"@ z ( ( Small ( z ) & Cube ( z ) ) $ / x BackOf ( z , x ) )","For all cubes z, z is not small or z is in back of something.",LoLa,2,False,15
"@ w ( Smaller ( w , a ) $ Cube ( w ) )","For all w, if w is smaller than a, then w is a cube.",Baseline,2,True,14
"~ / x ( Dodec ( x ) & ~ LeftOf ( e , x ) ) $ ~ Dodec ( e )","If it is not the case that there is a dodecahedron x such that e is not to the left of x, then e is not a dodecahedron.",Ranta,2,False,28
"@ x ( ( Cube ( x ) & Large ( x ) ) $ / y FrontOf ( x , y ) )","For all x, if x is a cube and x is large, then there is an element y such that x is in front of y.",Baseline,2,True,26
"~ ( Larger ( a , c ) $ Large ( a ) ) & ~ ( Larger ( e , c ) $ Large ( e ) )","It is not the case that if a is larger than c, then a is large and it is not the case that if e is larger than c, then e is large.",Baseline,2,True,33
"@ y / z ( ( Dodec ( y ) & ~ RightOf ( z , y ) ) $ Small ( y ) )","For all y, there is an element z such that if y is a dodecahedron and z is not to the right of y, then y is small.",Ranta,2,False,28
"@ x @ y ( ( Cube ( x ) & Cube ( y ) ) $ ( ~ LeftOf ( x , y ) & ~ RightOf ( x , y ) ) )","For all x, for all y, if x is to the left of y or to the right of y, then x is not a cube or y is not a cube.",LoLa,2,False,32
"@ y @ x ( ( Cube ( y ) & SameSize ( x , y ) ) $ ~ Tet ( x ) )","For all y, for all x, if y is a cube and x is of the same size as y, then x is not a tetrahedron.",Ranta,2,False,26
"@ z ( Cube ( z ) $ / y ( Tet ( y ) & SameSize ( y , z ) & RightOf ( y , z ) ) )","For all cubes z, some tetrahedron is of the same size as z and to the right of z.",LoLa,2,False,19
"/ z ( Large ( z ) & Cube ( z ) & RightOf ( b , z ) )","There is an element z such that z is large, z is a cube and b is to the right of z.",Ranta,2,False,22
"~ / x ( Cube ( x ) & / y ( RightOf ( x , y ) & Cube ( y ) ) )",It is not the case that there is a cube x such that there is an element y such that x is to the right of y and y is a cube.,Ranta,2,False,32
@ y ( Even ( y ) $ Prime ( y ) ),"For all y, if y is even, then y is a prime.",Baseline,2,True,12
"@ x @ y @ z @ u ( Dodec ( x ) $ ~ ( BackOf ( y , x ) & BackOf ( z , x ) & BackOf ( u , x ) ) )","For all y, for all dodecahedrons x, for all z, there is no element u such that y, z and u are in back of x.",LoLa,2,False,26
"~ @ x ( Cube ( x ) $ @ y ( Tet ( y ) $ Smaller ( x , y ) ) )",It is not the case that every cube is smaller than every tetrahedron.,Ranta,3,True,13
∀x ∀y (Rectangle(x) ∧ Rhombus(y) → (HasFourSides(x) ∧ HasFourSides(y) ∧ OppositeSidesEqual(x) ∧ AllSidesEqual(y) ∧ AllAngles90Degrees(x) ∧ ¬AllAngles90Degrees(y))),"A rectangle has four sides with opposite sides equal in length, and all angles are 90 degrees, while a rhombus has four equal sides but not all angles are necessarily 90 degrees.",MALLS,3,False,32
∀x (Beach(x) → (LocatedAlongCoastline(x) ∧ ComposedOfSandOrPebbles(x) ∧ ServesAsHabitatForCoastalOrganisms(x) ∧ RecreationalDestination(x))),"A beach, located along a coastline, is composed of sand, pebbles, or other sediment, and serves as a habitat for various coastal organisms and a popular recreational destination for humans.",MALLS,3,False,30
∀x ∀y ∀z (Saxophone(x) ∧ Violin(y) ∧ Flute(z) → (MadeOfBrass(x) ∧ MadeOfWood(y) ∧ MadeOfMetal(z))),"Saxophones are made of brass, violins are made of wood, and flutes are made of metal.",MALLS,3,False,16
∀x (Material(x) ∧ AllowsFlowOfElectricCurrent(x) ∧ MinimalResistance(x) → Conductor(x)),A material is classified as a conductor if it allows the flow of electric current with minimal resistance.,MALLS,3,False,18
∀x (Doctor(x) → (DiagnosesHealthIssues(x) ∧ TreatsHealthIssues(x))),"If a person is a doctor, they must diagnose and treat health issues in patients.",MALLS,3,False,15
∃x (Smartphone(x) ∧ WirelessCharging(x) ∧ Waterproof(x) ∧ HighResolutionCamera(x)),"A few smartphones support wireless charging, are waterproof, and have a high-resolution camera.",MALLS,3,False,13
∃x (Vegetable(x) ∧ Green(x) ∧ Leafy(x)),Some vegetables are both green and leafy.,MALLS,3,False,7
"∃x (Plant(x) ∧ (∃y SoilType(y) ∧ GrowsIn(x, y)) ∧ (∃z SunlightAmount(z) ∧ RequiresSunlight(x, z)) ∧ (PollinatedByInsects(x) ∨ PollinatedByBirds(x) ∨ PollinatedByWind(x)))","Some plants grow in different types of soil, require a certain amount of sunlight, and can be pollinated by insects, birds, or wind.",MALLS,3,False,23
"∀x ∀y ∀z (Mountain(x) ∧ Hill(y) ∧ Plateau(z) → (Taller(x, y) ∧ Shorter(x, z)))",A mountain is taller than a hill but shorter than a plateau.,MALLS,3,False,12
∀x (Person(x) ∧ CultivatesLand(x) ∧ (RaisesCrops(x) ∨ CaresForLivestock(x)) ∧ ForFoodOrFiberOrOtherProducts(x) → Farmer(x)),"A person is considered a farmer if they cultivate land, raise crops, and/or care for livestock for food, fiber, or other products.",MALLS,3,False,22
∀x∀y∀z (Metal(x) ∧ Gas(y) ∧ Liquid(z) → (Magnetic(x) ∧ Compressible(y) ∧ TakesShapeOfContainer(z))),"A metal is magnetic, a gas is compressible, and a liquid takes the shape of its container.",MALLS,3,False,17
∀x (Smartphone(x) ∧ UserFriendly(x) ↔ (IntuitiveInterface(x) ∧ (ResponsiveTouchScreen(x) ∨ EasyToNavigateSettings(x)))),A smartphone is user-friendly when it has an intuitive interface and (offers a responsive touch screen or has easy-to-navigate settings).,MALLS,3,False,20
∀x (Vehicle(x) ∧ ExcellentFuelEfficiency(x) ∧ AdvancedSafetyFeatures(x) → AttractiveToEcoFriendlyConsumers(x)),Vehicles offering excellent fuel efficiency and advanced safety features are attractive options for eco-friendly consumers.,MALLS,3,False,15
∀x (Cake(x) ∧ ToothpickTest(x) ∧ CooledDown(x) → ReadyToRemove(x)),A cake is ready to be removed from the oven when it passes the toothpick test and has cooled down sufficiently.,MALLS,3,False,21
∀x ∀y (Novel(x) ∧ Textbook(y) → (Book(x) ∧ TellsStory(x) ∧ Book(y) ∧ UsedForEducationalPurposes(y))),"A novel is a type of book that tells a story, while a textbook is a type of book used for educational purposes.",MALLS,3,False,23
